cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
0,0,0,0,0,"MOV.LANEID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
0,0,0,0,0,"MOV.LANEID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
0,1,0,8,0,"MOV.LANEID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
0,1,0,8,0,"MOV.LANEID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
1,0,0,0,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
1,0,0,1,0,"MOV.LANEID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
1,0,0,1,0,"MOV.LANEID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
1,1,0,8,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
1,1,0,9,0,"MOV.LANEID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
1,1,0,9,0,"MOV.LANEID r1",EXECUTE,11111111111111111111111111111111,1,0,"",,,
2,0,0,1,1,"",WRITEBACK,11111111111111111111111111111111,1,0,"",,,
2,0,0,2,0,"MOV.LANEID r1",ISSUE,11111111111111111111111111111111,1,1,"",,,
